symbol,status
BLZUSDT,TRADING
IRISUSDT,TRADING
KMDUSDT,TRADING
BTCDAI,TRADING
ETHDAI,TRADING
BNBDAI,TRADING
USDTDAI,TRADING
BUSDDAI,TRADING
JSTBNB,TRADING
JSTBTC,TRADING
JSTBUSD,TRADING
JSTUSDT,TRADING
SRMBNB,TRADING
SRMBTC,TRADING
SRMBUSD,TRADING
SRMUSDT,TRADING
ANTBNB,TRADING
ANTBTC,TRADING
ANTBUSD,TRADING
ANTUSDT,TRADING
CRVBNB,TRADING
CRVBTC,TRADING
CRVBUSD,TRADING
CRVUSDT,TRADING
SANDBNB,TRADING
SANDBTC,TRADING
SANDUSDT,TRADING
SANDBUSD,TRADING
OCEANBNB,TRADING
OCEANBTC,TRADING
OCEANBUSD,TRADING
OCEANUSDT,TRADING
NMRBNB,TRADING
NMRBTC,TRADING
NMRBUSD,TRADING
NMRUSDT,TRADING
DOTBNB,TRADING
DOTBTC,TRADING
DOTBUSD,TRADING
DOTUSDT,TRADING
LUNABNB,TRADING
LUNABTC,TRADING
LUNABUSD,TRADING
LUNAUSDT,TRADING
IDEXBTC,TRADING
IDEXBUSD,TRADING
RSRBNB,TRADING
RSRBTC,TRADING
RSRBUSD,TRADING
RSRUSDT,TRADING
PAXGBNB,TRADING
PAXGBTC,TRADING
PAXGBUSD,BREAK
PAXGUSDT,TRADING
WNXMBNB,TRADING
WNXMBTC,TRADING
WNXMBUSD,BREAK
WNXMUSDT,TRADING
TRBBNB,BREAK
TRBBTC,TRADING
TRBBUSD,TRADING
TRBUSDT,TRADING
ETHNGN,TRADING
DOTBIDR,TRADING
LINKAUD,TRADING
SXPAUD,TRADING
BZRXBNB,BREAK
BZRXBTC,TRADING
BZRXBUSD,TRADING
BZRXUSDT,TRADING
WBTCBTC,TRADING
WBTCETH,TRADING
SUSHIBNB,TRADING
SUSHIBTC,TRADING
SUSHIBUSD,TRADING
SUSHIUSDT,TRADING
YFIIBNB,TRADING
YFIIBTC,TRADING
YFIIBUSD,TRADING
YFIIUSDT,TRADING
KSMBNB,TRADING
KSMBTC,TRADING
KSMBUSD,TRADING
KSMUSDT,TRADING
EGLDBNB,TRADING
EGLDBTC,TRADING
EGLDBUSD,TRADING
EGLDUSDT,TRADING
DIABNB,TRADING
DIABTC,TRADING
DIABUSD,TRADING
DIAUSDT,TRADING
RUNEUSDT,TRADING
FIOUSDT,TRADING
UMABTC,TRADING
UMAUSDT,TRADING
EOSUPUSDT,TRADING
EOSDOWNUSDT,TRADING
TRXUPUSDT,TRADING
TRXDOWNUSDT,TRADING
XRPUPUSDT,TRADING
XRPDOWNUSDT,TRADING
DOTUPUSDT,TRADING
DOTDOWNUSDT,TRADING
SRMBIDR,BREAK
ONEBIDR,BREAK
LINKTRY,TRADING
USDTNGN,TRADING
BELBNB,TRADING
BELBTC,TRADING
BELBUSD,TRADING
BELUSDT,TRADING
WINGBNB,TRADING
WINGBTC,TRADING
SWRVBNB,TRADING
SWRVBUSD,TRADING
WINGBUSD,TRADING
WINGUSDT,TRADING
LTCUPUSDT,TRADING
LTCDOWNUSDT,TRADING
LENDBKRW,BREAK
SXPEUR,TRADING
CREAMBNB,TRADING
CREAMBUSD,TRADING
UNIBNB,TRADING
UNIBTC,TRADING
UNIBUSD,TRADING
UNIUSDT,TRADING
NBSBTC,TRADING
NBSUSDT,TRADING
OXTBTC,TRADING
