Actual Time, Return Status, Trade Time, Price 
1612764734.2378297,200,1612764733922,38883.86000000
1612764764.2415724,200,1612764764016,38900.31000000
1612764793.8355935,200,1612764793478,38931.29000000
1612764824.2495303,200,1612764824014,38951.60000000
1612764853.7775486,200,1612764853525,38955.13000000
1612764883.8468409,200,1612764883574,38990.02000000
1612764913.7721386,200,1612764913650,38993.73000000
1612764943.857498,200,1612764943676,38996.05000000
1612764973.8586006,200,1612764973540,39000.02000000
1612765003.8641021,200,1612765003673,39022.82000000
1612765033.7639966,200,1612765033605,39042.60000000
1612765063.8733814,200,1612765063670,39006.51000000
1612765093.770943,200,1612765093611,39020.34000000
1612765123.875996,200,1612765123683,38973.29000000
1612765153.733802,200,1612765153585,39074.23000000
1612765183.880456,200,1612765183554,39076.89000000
1612765213.7830744,200,1612765213624,39097.99000000
1612765243.787246,200,1612765243626,39128.16000000
1612765273.7932122,200,1612765273621,39120.82000000
1612765303.901086,200,1612765303688,39129.47000000
1612765333.7997215,200,1612765333615,39126.83000000
1612765363.803377,200,1612765363414,39135.60000000
1612765393.8087883,200,1612765393626,39137.57000000
1612765423.8098521,200,1612765423541,39128.69000000
1612765453.8174322,200,1612765453578,39144.31000000
1612765483.823327,200,1612765483622,39147.59000000
1612765513.827993,200,1612765513560,39169.57000000
1612765543.8249524,200,1612765543632,39141.53000000
1612765573.828984,200,1612765573401,39150.36000000
1612765603.832836,200,1612765603248,39141.68000000
1612765633.8361092,200,1612765633586,39165.38000000
1612765663.8445342,200,1612765663667,39153.62000000
1612765693.8424668,200,1612765693493,39157.02000000
1612765723.8488607,200,1612765723131,39156.08000000
1612765753.8520453,200,1612765753614,39160.00000000
1612765783.8525367,200,1612765783359,39129.96000000
1612765813.858887,200,1612765813447,39133.39000000
1612765843.8603182,200,1612765843575,39119.38000000
1612765873.865129,200,1612765873623,39124.99000000
1612765903.8721583,200,1612765903672,39100.01000000
1612765933.8698566,200,1612765933555,39141.24000000
1612765963.7787879,200,1612765963621,39134.82000000
1612765993.8823614,200,1612765993604,39113.95000000
1612766023.8801587,200,1612766023650,39087.51000000
1612766053.78149,200,1612766053557,39106.20000000
1612766083.887942,200,1612766083602,39091.29000000
1612766113.7891297,200,1612766113564,39089.14000000
1612766143.7926316,200,1612766143509,39099.40000000
1612766173.8033564,200,1612766173631,39096.00000000
1612766203.7992368,200,1612766203635,39083.24000000
1612766233.803157,200,1612766233602,39088.75000000
1612766263.812005,200,1612766263533,39090.95000000
1612766293.8105974,200,1612766293249,39081.99000000
1612766323.8136325,200,1612766323456,39070.96000000
1612766353.819295,200,1612766353459,39082.66000000
1612766383.8252718,200,1612766383589,39076.63000000
1612766413.824997,200,1612766413419,39064.83000000
1612766444.0376704,200,1612766443546,39071.50000000
1612766473.8323026,200,1612766473613,39053.29000000
1612766503.9381652,200,1612766503596,39050.58000000
1612766534.2491128,200,1612766534057,39079.03000000
1612766563.9447618,200,1612766563576,39089.25000000
1612766593.949121,200,1612766593612,39092.59000000
1612766623.850573,200,1612766623597,39088.58000000
1612766654.4691596,200,1612766654045,39057.20000000
1612766683.8587093,200,1612766683466,39060.58000000
1612766713.73855,200,1612766713438,39074.45000000
1612766743.8646264,200,1612766743548,39057.01000000
1612766773.8684096,200,1612766773411,39052.89000000
1612766803.8735924,200,1612766803594,39041.24000000
1612766833.7735403,200,1612766833446,39039.42000000
1612766863.7763548,200,1612766863453,39028.30000000
1612766893.8917284,200,1612766893625,39065.04000000
1612766923.8864775,200,1612766923412,39073.65000000
1612766953.8917146,200,1612766953517,39057.15000000
1612766983.8968477,200,1612766983601,39036.04000000
1612767013.9036534,200,1612767013614,39049.56000000
1612767043.9022262,200,1612767043538,39063.61000000
1612767073.9053552,200,1612767073555,39020.42000000
1612767103.9132662,200,1612767103618,39026.03000000
1612767133.9160116,200,1612767132967,39018.50000000
1612767163.9173138,200,1612767163577,39011.17000000
1612767193.919054,200,1612767193416,39017.34000000
1612767223.8247037,200,1612767223595,39015.79000000
1612767253.8237648,200,1612767253557,39008.20000000
1612767283.8318024,200,1612767283651,38997.81000000
1612767313.83114,200,1612767313648,38979.80000000
1612767343.8340662,200,1612767343616,38953.72000000
1612767373.8430278,200,1612767373596,38932.26000000
1612767403.8492563,200,1612767403549,38994.48000000
1612767433.849247,200,1612767433496,39032.57000000
1612767463.8507795,200,1612767463444,39064.99000000
1612767493.860034,200,1612767493639,39069.99000000
1612767523.8565898,200,1612767523639,39020.79000000
1612767553.7578232,200,1612767553594,39028.49000000
1612767583.8631136,200,1612767583564,39019.99000000
1612767613.766575,200,1612767613515,39034.97000000
1612767643.872375,200,1612767643263,39033.17000000
1612767673.874434,200,1612767673547,39044.45000000
1612767703.884582,200,1612767703340,39011.66000000
1612767733.881067,200,1612767733491,39013.65000000
1612767763.8850138,200,1612767763451,38996.18000000
1612767793.8889592,200,1612767793618,38982.86000000
1612767823.892572,200,1612767823618,38978.72000000
1612767853.8963327,200,1612767853561,38997.75000000
1612767883.7975054,200,1612767883224,39013.23000000
1612767913.8081896,200,1612767913562,39033.47000000
1612767943.8118212,200,1612767943350,39031.88000000
1612767973.8083968,200,1612767973415,39010.83000000
1612768003.9141543,200,1612768003309,39012.15000000
1612768033.9179366,200,1612768033534,39006.51000000
1612768063.8183217,200,1612768063519,39006.45000000
1612768093.9252374,200,1612768093459,38973.72000000
1612768123.8352277,200,1612768123257,38971.16000000
1612768153.8366303,200,1612768153630,38979.89000000
1612768183.8437452,200,1612768183606,38997.77000000
1612768213.9399204,200,1612768213630,39008.29000000
1612768244.455815,200,1612768243993,38981.51000000
1612768273.8448527,200,1612768273477,38952.43000000
1612768303.8499696,200,1612768303535,38943.02000000
1612768334.1596699,200,1612768333226,38942.31000000
1612768363.8578265,200,1612768363357,38929.91000000
1612768393.8595345,200,1612768393242,38933.43000000
1612768423.8631394,200,1612768423592,38938.22000000
1612768453.768598,200,1612768453596,38904.48000000
1612768484.1775105,200,1612768483592,38956.34000000
1612768513.7706947,200,1612768513620,38974.39000000
1612768543.9800994,200,1612768543664,38950.32000000
1612768573.7805574,200,1612768573595,38972.39000000
1612768603.7842371,200,1612768603589,38954.41000000
1612768633.7872972,200,1612768633474,38950.82000000
1612768663.752234,200,1612768663574,38947.96000000
1612768693.896244,200,1612768693439,38947.00000000
1612768723.90216,200,1612768723515,38942.50000000
1612768753.9037545,200,1612768753595,38955.49000000
1612768783.9075143,200,1612768783624,38961.40000000
1612768813.8077805,200,1612768813519,38996.42000000
1612768843.9147696,200,1612768843678,38968.93000000
1612768874.232624,200,1612768874050,38948.00000000
1612768903.822513,200,1612768903618,38926.99000000
1612768934.2317111,200,1612768934014,38949.99000000
1612768963.9318836,200,1612768963520,38950.16000000
1612768993.9319496,200,1612768993596,38960.35000000
1612769023.8341532,200,1612769023573,38939.13000000
1612769053.837128,200,1612769053414,38960.22000000
1612769083.8405836,200,1612769083614,38973.43000000
1612769113.8449433,200,1612769113398,38992.74000000
1612769143.853153,200,1612769143617,39010.84000000
1612769173.9600956,200,1612769173709,39043.61000000
1612769203.857096,200,1612769203595,39049.75000000
1612769233.8650985,200,1612769233534,39060.31000000
1612769263.864949,200,1612769263611,39055.00000000
1612769293.8688345,200,1612769293344,39075.60000000
1612769323.772715,200,1612769323615,39091.06000000
1612769353.8734517,200,1612769353619,39085.01000000
1612769383.8800714,200,1612769383566,39105.20000000
1612769413.9829955,200,1612769413633,39179.99000000
1612769443.7813642,200,1612769443648,39199.99000000
1612769473.785985,200,1612769473619,39255.77000000
1612769503.9971008,200,1612769503608,39260.00000000
1612769533.8961616,200,1612769533597,39300.01000000
1612769563.7964087,200,1612769563625,39336.78000000
1612769593.901733,200,1612769593622,39363.63000000
1612769623.9142845,200,1612769623373,39345.69000000
1612769653.9100292,200,1612769653580,39361.98000000
1612769683.9131567,200,1612769683362,39360.77000000
1612769713.9198976,200,1612769713607,39334.21000000
1612769743.9205298,200,1612769743695,39352.94000000
1612769773.9289885,200,1612769773583,39340.37000000
1612769803.8251748,200,1612769803644,39342.62000000
1612769833.9307997,200,1612769833573,39354.39000000
1612769863.836612,200,1612769863290,39316.98000000
1612769893.944807,200,1612769893570,39334.64000000
1612769923.9453113,200,1612769923523,39334.71000000
1612769953.9519105,200,1612769953586,39333.80000000
1612769983.8465383,200,1612769983133,39340.68000000
1612770013.9532177,200,1612770013015,39344.18000000
1612770043.9566724,200,1612770043678,39331.73000000
1612770074.267113,200,1612770074056,39314.56000000
1612770103.8629286,200,1612770103587,39300.07000000
1612770133.7626772,200,1612770133606,39323.55000000
1612770163.7976892,200,1612770163609,39320.87000000
1612770193.872383,200,1612770193445,39331.21000000
1612770223.8815591,200,1612770223676,39306.78000000
1612770253.781234,200,1612770253523,39289.59000000
1612770283.8856215,200,1612770283555,39276.90000000
1612770314.1977184,200,1612770314000,39325.41000000
1612770343.9928727,200,1612770343634,39308.29000000
1612770373.7951956,200,1612770373427,39310.60000000
1612770403.897579,200,1612770403598,39296.90000000
1612770433.9015675,200,1612770433628,39270.00000000
